sample_id,total_reads,total_bp,total_Gbp,min,max,mean,quartile_25,quartile_50,quartile_75,N25,N50,N75
HG002,36447750,5.50894E+11,550.89,44,59678,15114,12741,13886,17098,13005,14446,18445
HG00438,5562963,1.2747E+11,127.47,45,50423,22914,19486,21693,25360,19980,22619,26911
HG005,8554614,1.45342E+11,145.34,45,31877,16989,15479,16671,18243,15671,16956,18628
HG00621,5570675,1.22496E+11,122.5,44,50388,21989,18608,20604,24341,19042,21499,25937
HG00673,5901420,1.22489E+11,122.49,44,50236,20755,17908,20211,23170,18404,20974,23975
HG00733,7659249,1.03802E+11,103.8,161,29981,13552,12120,13190,14579,12368,13469,15130
HG00735,6012929,1.33495E+11,133.5,45,49944,22201,19603,21747,24323,20093,22328,25079
HG00741,4835556,1.19232E+11,119.23,45,50089,24657,21660,24141,27170,22222,24843,28043
HG01071,4090855,1.08932E+11,108.93,45,50514,26628,23344,26137,29448,23999,26926,30377
HG01106,6506175,1.45119E+11,145.12,46,50120,22304,20090,21752,24032,20373,22164,24630
HG01109,4682613,99776982856,99.78,45,50164,21307,19394,20843,22759,19626,21163,23215
HG01123,7155201,1.19417E+11,119.42,45,48534,16689,15009,16484,18163,15312,16830,18563
HG01175,5153776,1.1194E+11,111.94,45,50465,21719,19225,21077,23584,19608,21602,24389
HG01243,5485642,1.0924E+11,109.24,45,50134,19913,17799,19157,21231,18016,19528,21937
HG01258,5577429,1.11149E+11,111.15,44,50257,19928,17268,19571,22350,17895,20342,23218
HG01358,6364271,1.17005E+11,117.01,44,50034,18384,16444,18095,20030,16809,18510,20561
HG01361,6505566,1.29995E+11,130,45,50060,19982,17983,19638,21604,18315,20026,22124
HG01891,6767965,1.15126E+11,115.13,45,46123,17010,15781,16865,18096,15929,17039,18287
HG01928,4626072,1.08902E+11,108.9,46,50112,23540,20841,23017,25763,21298,23609,26536
HG01952,5991057,1.27851E+11,127.85,46,50198,21340,18528,20428,23503,18887,21109,24532
HG01978,4495166,1.1757E+11,117.57,45,50353,26154,22850,25408,28813,23424,26203,29895
HG02080,4947645,1.05895E+11,105.9,45,48810,21403,19135,20874,23090,19472,21313,23725
HG02109,4799290,94957097926,94.96,45,50343,19785,17283,18983,21627,17621,19552,22598
HG02145,6170408,1.12801E+11,112.8,45,49853,18280,15771,17715,20350,16183,18400,21091
HG02148,7020044,1.23243E+11,123.24,45,49685,17555,15253,16450,19232,15458,16942,20392
HG02257,5749113,1.10635E+11,110.64,46,50471,19243,17433,18926,20702,17697,19246,21113
HG02486,6671935,1.23905E+11,123.9,45,50334,18571,16802,18300,20039,17083,18626,20437
HG02559,6319123,1.28541E+11,128.54,43,50659,20341,18457,19965,21759,18723,20288,22200
HG02572,4809279,95890712247,95.89,45,50301,19938,17861,19547,21638,18198,19979,22194
HG02622,6230485,1.43992E+11,143.99,45,50214,23110,20467,22330,25042,20816,22882,25901
HG02630,7849138,1.51012E+11,151.01,45,49817,19239,16976,18705,20969,17346,19196,21685
HG02717,8190461,1.40299E+11,140.3,45,49958,17129,14888,16267,18536,15163,16751,19578
HG02723,8922654,1.43294E+11,143.29,45,49128,16059,14128,15303,17286,14332,15693,18116
HG02818,6904855,1.14109E+11,114.11,43,46098,16525,14847,16385,18033,15225,16750,18481
HG02886,7667715,1.37407E+11,137.41,45,50292,17920,15816,17197,19285,16078,17624,20081
HG03453,7959186,1.60255E+11,160.25,45,49779,20134,17770,19390,21804,18080,19883,22632
HG03486,6384496,1.22258E+11,122.26,45,50170,19149,16869,18297,20504,17135,18745,21413
HG03492,5065600,1.04358E+11,104.36,45,50345,20601,17766,20270,23031,18345,21008,23737
HG03516,5882729,1.10246E+11,110.25,47,50513,18740,16585,18205,20273,16928,18663,20939
HG03540,7383539,1.53408E+11,153.41,45,50154,20777,18342,20020,22479,18657,20527,23301
HG03579,7673270,1.4999E+11,149.99,46,49804,19547,17195,18895,21220,17560,19408,22042
NA18906,6041394,1.3085E+11,130.85,45,50962,21658,18298,20420,23466,18864,21232,25330
NA19240,6902209,1.2518E+11,125.18,43,48834,18136,15992,17283,19308,16214,17682,20156
NA20129,6525330,1.16263E+11,116.26,43,50328,17817,14980,16725,20004,15334,17708,21018
NA21309,7234213,1.2241E+11,122.41,44,50315,16920,14408,15874,18875,14704,16551,19974
HG03471,8140699,1.57173E+11,157.17,45,50100,19307,16840,18617,21239,17218,19212,22147
HG02055,6243690,1.2316E+11,123.16,45,50050,19725,17316,19016,21442,17673,19543,22310
HG03098,5572508,1.1108E+11,111.08,45,50005,19933,17898,19144,20960,18091,19465,21572
HG02970,7422723,1.11265E+11,111.26,42,46546,14989,13754,15039,16610,14172,15441,17149
HG01442,6518123,1.15752E+11,115.75,45,47554,17758,15314,17177,19696,15666,17833,20363
