File,N50,Gb,coverage,100kb+,200kb+,300kb+,400kb+,500kb+,1Mb+,whales
HG01175,75225,148.25,44.93,16.59,4.33,1.35,0.57,0.3,0.05,101
HG00741,79828,145.37,44.05,17.29,4.38,1.17,0.45,0.24,0.03,59
HG03516,75811,141.52,42.89,16.3,4.98,1.69,0.71,0.36,0.03,85
HG01106,70183,138.19,41.88,14.33,3.77,1.16,0.47,0.23,0.02,63
HG00438,73532,136.61,41.4,14.67,3.33,0.77,0.24,0.1,0.01,29
HG01071,76951,132.38,40.12,15.29,4.39,1.51,0.68,0.37,0.05,117
HG01978,77617,128.37,38.91,14.67,3.54,0.93,0.37,0.18,0.02,64
HG01891,79570,120.77,36.6,14.72,4.79,1.57,0.55,0.22,0.02,40
HG00673,70877,115.7,35.06,11.84,2.54,0.65,0.25,0.13,0.03,48
HG01361,67140,107.71,32.63,10.69,2.83,0.86,0.34,0.16,0.02,34
HG02886,81798,106.81,32.37,13.26,4.08,1.35,0.53,0.24,0.03,57
HG00621,83822,106.17,32.18,13.2,3.3,0.97,0.42,0.23,0.03,82
HG01952,72206,103.55,31.38,11.06,2.98,0.97,0.44,0.24,0.02,70
HG00735,76977,102.66,31.11,11.68,2.97,0.84,0.34,0.17,0.03,62
HG03471,86071,95.6,28.97,12.44,3.75,1.21,0.51,0.28,0.03,83
HG03540,81809,95.38,28.91,11.78,3.46,1.09,0.41,0.19,0.01,45
HG02486,64367,95,28.79,8.62,1.73,0.32,0.07,0.02,0,6
HG02717,72917,88.93,26.94,9.75,2.76,0.89,0.36,0.17,0.01,35
HG02257,76136,85.04,25.77,9.56,2.24,0.52,0.17,0.07,0,21
HG01928,82260,85.01,25.76,10.49,2.85,0.87,0.37,0.2,0.02,67
HG02559,65002,82.02,24.86,7.72,1.78,0.39,0.08,0.02,0,4
HG01258,91791,69.81,21.16,9.73,3.24,1.13,0.48,0.24,0.02,58
HG01358,64158,65.14,19.74,5.82,1.08,0.21,0.06,0.02,0,7
HG02630,88601,64.53,19.56,8.72,2.79,0.94,0.42,0.23,0.03,86
HG02148,61223,60.91,18.45,5.63,1.5,0.44,0.18,0.08,0.01,34
HG03579,87729,51.94,15.73,6.91,2.15,0.68,0.25,0.12,0.01,30
HG01123,87190,51.46,15.6,5.56,1.45,0.41,0.15,0.06,0,12
HG02572,73266,51.47,15.6,6.79,2,0.6,0.23,0.11,0.01,28
HG02622,87046,47.62,14.43,6.29,1.91,0.61,0.25,0.13,0.02,35
HG03453,93224,36.08,10.94,5.07,1.35,0.38,0.17,0.1,0.02,45
